order_id,customer_id,order_date,category,product_name,unit_price,quantity,country,payment_method,channel,order_status
ORD105232,CUST535,03-09-2024,Fashion,Running Shoes,221.63,1.0,UAE,Credit Card,Website,Delivered
ORD104109,CUST1528,2024-05-08,Home & Kitchen,LED Desk Lamp,653.13,1.0,India,UPI,Mobile App,Cancelled
ORD102847,,2024-03-10,Fashion,Denim Jacket,498.23,1.0,UK,Credit Card,Website,Delivered
ORD100285,CUST780,08-17-2024,Fashion,Cotton T-Shirt,1984.77,1.0,India,PayPal,Mobile App,Delivered
ORD100828,CUST1407,2024-04-24,Fashion,Leather Wallet,429.59,1.0,India,Credit Card,Mobile App,Delivered 
ORD102097,CUST1252,2024-09-28,Home & Kitchen,Blender,763.95,2.0,india,Credit Card,Mobile App,Delivered
ORD105396,CUST1145,09-08-2024,Home & Kitchen,LED Desk Lamp,3092.45,2.0,India,Credit Card,Mobile App,Returned
ORD103594,CUST810,01-17-2024,Electronics,USB-C Cable,3330.61,2.0,UK,COD,Mobile App,Delivered
ORD100019,CUST1501,2024-02-05,Home & Kitchen,Blender,2891.36,3.0,Germany,UPI,Marketplace,Returned
ORD105626,CUST1377,2024-09-19,Sports,Cycling Gloves,630.05,5.0,india,PayPal,Mobile App,Delivered
ORD101301,CUST1126,2024-05-20,Fashion,Cotton T-Shirt,2194.71,1.0,United States,UPI,Mobile App,Delivered
ORD105654,CUST121,2024-08-06,Fashion,Running Shoes,2033.85,2.0,USA,UPI,Website,Cancelled
ORD103268,CUST1039,03/02/2024,Fashion,Cotton T-Shirt,1425.65,1.0,UK,credit card,Mobile App,Returned
ORD101878,CUST1186,2024-04-17,Home & Kitchen,LED Desk Lamp,651.14,1.0,India,Debit Card,Website,Delivered
ORD104963,CUST160,2024-06-03,Electronics,Wireless Earbuds,2133.59,1.0,India,Credit Card,Website,Delivered
ORD102276,CUST1095,05-20-2024,Toys,Puzzle 1000pc,881.37,1.0,india,credit card,MOBILE APP,Delivered
ORD101880,CUST1427,07/04/2024,Electronics,Smartwatch,2875.48,1.0,Germany,Credit Card,Website,Delivered
ORD102659,CUST919,2024-03-09,Beauty,Face Serum,199.04,1.0,USA,UPI,Mobile App,Returned
ORD101274,CUST568,2024-01-18,Sports,Cycling Gloves,403.26,1.0,France,COD,MOBILE APP,Delivered
ORD105402,CUST338,2024-02-20,Fashion,Denim Jacket,561.97,2.0,india,credit card,website,Delivered
ORD105961,CUST1613,06-09-2024,Toys,Board Game,292.37,1.0,UK,UPI,Mobile App,Delivered
ORD103854,CUST174,2024-05-03,Electronics,Smartwatch,2901.44,1.0,USA,UPI,Marketplace,Returned
ORD100724,CUST757,2024-02-05,Electronics,Phone Case,3849.51,1.0,india,Credit Card,MOBILE APP,Delivered
ORD101352,CUST1220,2024-03-23,Home & Kitchen,LED Desk Lamp,820.81,1.0,UK,Credit Card,Mobile App,Returned
ORD102356,CUST1503,2024-03-07,Fashion,Leather Wallet,553.45,2.0,USA,,MOBILE APP,Delivered
ORD102783,CUST942,08/03/2024,Sports,Cycling Gloves,225563.0,2.0,India,Credit Card,Website,Returned
ORD103039,CUST774,04-05-2024,Beauty,Lip Balm Set,685.05,1.0,UK,Debit Card,Marketplace,Delivered
ORD100713,CUST1169,2024-07-21,Electronics,Bluetooth Speaker,3030.94,1.0,India,Credit Card,Website,Delivered
ORD105883,CUST665,2024-01-14,Fashion,Running Shoes,2568.07,1.0,India,COD,Marketplace,Delivered
ORD101212,CUST1014,02/05/2024,Beauty,Makeup Brush Kit,1368.33,1.0,India,PayPal,MOBILE APP,Delivered
ORD103697,CUST793,2024-05-17,Toys,Board Game,1951.16,3.0,India,COD,Marketplace,Delivered
ORD101360,CUST1237,2024-09-17,Fashion,Sunglasses,1770.76,3.0,India,Credit Card,Website,Delivered
ORD103081,CUST195,29/02/2024,Electronics,Bluetooth Speaker,967.4,1.0,Germany,Credit Card,Mobile App,Cancelled
ORD101617,CUST1727,01-20-2024,Beauty,Lip Balm Set,1177.75,1.0,Germany,Debit Card,Marketplace,Cancelled
ORD103593,CUST850,2024-06-13,Fashion,Leather Wallet,521.11,1.0,India,Credit Card,Website,Delivered
ORD102835,CUST1361,2024-04-15,Beauty,Face Serum,1216.46,1.0,USA,UPI,Marketplace,Delivered
ORD102169,CUST728,2024-05-26,Fashion,Sunglasses,386.5,2.0,UAE,COD,Mobile App,Delivered
ORD105184,CUST700,2024-07-15,Home & Kitchen,Non-stick Pan Set,581.6,2.0,USA,Credit Card,Mobile App,Delivered
ORD100760,CUST1687,07-13-2024,Fashion,Running Shoes,1034.47,2.0,India,UPI,Mobile App,Delivered
ORD102100,CUST730,2024-09-04,Beauty,Lip Balm Set,525.95,1.0,India,Debit Card,Mobile App,Cancelled
ORD102069,CUST506,06-28-2024,Home & Kitchen,Storage Containers,3216.3,4.0,India,COD,Mobile App,Delivered
ORD101408,CUST1465,09/05/2024,Home & Kitchen,Storage Containers,1425.77,1.0,India,PayPal,Marketplace,Delivered
ORD101224,CUST1355,2024-03-25,Home & Kitchen,Blender,3080.39,1.0,UK,COD,Mobile App,Delivered
ORD103961,CUST1601,05-24-2024,Electronics,USB-C Cable,3054.76,1.0,India,UPI,Mobile App,Delivered
ORD101579,CUST1155,26/07/2024,Fashion,Running Shoes,2571.41,1.0,india,Credit Card,Marketplace,Delivered
ORD103143,CUST257,2024-01-18,Electronics,USB-C Cable,559.13,1.0,India,PayPal,Mobile App,Delivered
ORD101812,CUST1797,06-11-2024,Sports,Water Bottle,931.79,2.0,UAE,UPI,Mobile App,Delivered
ORD103482,CUST61,2024-05-31,Electronics,Bluetooth Speaker,4717.37,1.0,United States,PayPal,Website,Delivered
ORD104312,CUST466,2024-01-02,Sports,Water Bottle,416.94,1.0,United Kingdom,Net Banking,website,Delivered
ORD104163,CUST1594,06/09/2024,Fashion,Sunglasses,1502.91,1.0,india,COD,Mobile App,Delivered
ORD100634,CUST699,2024-05-31,Electronics,Bluetooth Speaker,3589.46,2.0,India,Credit Card,Marketplace,Returned
ORD104897,CUST1159,05/01/2024,Fashion,Cotton T-Shirt,911.08,1.0,India,UPI,Mobile App,Delivered
ORD100291,CUST1302,09-11-2024,Fashion,Leather Wallet,2763.21,1.0,India,COD,MOBILE APP,Delivered
ORD100206,CUST1228,2024-05-03,Electronics,Smartwatch,1423.0,1.0,USA,UPI,Website,Delivered
ORD102175,CUST1202,2024-08-18,Electronics,Power Bank,1928.69,3.0,India,Credit Card,Mobile App,Delivered
ORD102910,CUST354,2024-02-18,Electronics,USB-C Cable,3249.62,1.0,India,PayPal,Mobile App,Delivered 
ORD102478,CUST1255,10/04/2024,Fashion,Sunglasses,,5.0,India,Credit Card,Website,Delivered
ORD105270,CUST785,09-27-2024,Electronics,USB-C Cable,2725.72,2.0,India,Net Banking,Website,Delivered
ORD103195,CUST368,2024-07-30,Sports,Resistance Bands,493.49,1.0,India,Net Banking,Marketplace,Delivered
ORD105428,CUST1290,07-02-2024,Fashion,Cotton T-Shirt,693.54,2.0,India,COD,Marketplace,Delivered
ORD103402,CUST1763,2024-05-21,Sports,Water Bottle,2333.44,5.0,India,credit card,Website,Delivered
ORD105236,,2024-06-13,Toys,Building Blocks Set,1715.07,1.0,United States,UPI,Website,Delivered
ORD101472,CUST489,27/09/2024,Electronics,Wireless Earbuds,3831.67,1.0,India,Net Banking,Mobile App,Delivered
ORD100630,CUST67,2024-03-12,Books,Kids Picture Book,117.47,1.0,India,Credit Card,Marketplace,Delivered
ORD102321,CUST801,2024-07-11,Beauty,Sunscreen SPF50,1361.58,1.0,India,UPI,Marketplace,Delivered
ORD100023,CUST1459,2024-04-03,Sports,Yoga Mat,985.32,1.0,Germany,Net Banking,Mobile App,Delivered
ORD104664,CUST485,2024-09-11,Home & Kitchen,Storage Containers,2457.86,1.0,Germany,Net Banking,website,Delivered
ORD105946,CUST743,2024-02-24,Books,Kids Picture Book,588.16,1.0,UK,UPI,Marketplace,Delivered
ORD100772,CUST329,2024-03-18,Fashion,Leather Wallet,1030.45,1.0,India,Debit Card,Website,Cancelled
ORD105371,CUST223,2024-07-22,Books,Self-Help Guide,229.03,2.0,India,Credit Card,Mobile App,Returned
ORD102889,CUST547,2024-05-17,Books,Fiction Bestseller,248.55,1.0,Germany,Debit Card,Mobile App,Delivered
ORD101928,CUST1768,2024-05-17,Fashion,Sunglasses,2132.05,1.0,Germany,Net Banking,Website,Delivered
ORD103125,CUST610,2024-02-11,Home & Kitchen,Air Fryer,2623.89,1.0,INDIA,COD,Marketplace,Delivered
ORD101054,CUST1404,02/08/2024,Sports,Dumbbell Set,2294.45,1.0,India,Credit Card,Mobile App,Delivered
ORD101425,CUST945,2024-03-27,Beauty,Sunscreen SPF50,195.03,1.0,India,Debit Card,Mobile App,Returned
ORD104999,CUST349,2024-06-07,Fashion,Denim Jacket,1361.52,1.0,USA,Net Banking,Website,Delivered
ORD101598,CUST724,2024-08-20,Books,Self-Help Guide,54770.00000000001,4.0,UAE,Credit Card,Website,Delivered
ORD101010,CUST1364,2024-05-22,Books,Cookbook,616.69,1.0,India,UPI,Website,Delivered
ORD103296,CUST333,08/09/2024,Fashion,Sunglasses,2330.26,1.0,UAE,Credit Card,Marketplace,Delivered
ORD104044,,03/01/2024,Sports,Dumbbell Set,1892.09,2.0,India,PayPal,Mobile App,Cancelled
ORD101419,CUST528,2024-07-24,Toys,Board Game,,1.0,United Kingdom,UPI,Mobile App,Delivered
ORD103902,CUST689,2024-06-29,Fashion,Denim Jacket,1125.14,2.0,USA,Debit Card,Marketplace,Delivered
ORD103431,CUST1598,18/01/2024,Sports,Yoga Mat,1690.23,1.0,india,,Website,Delivered
ORD102853,CUST231,2024-04-06,Home & Kitchen,LED Desk Lamp,,1.0,India,Credit Card,website,Delivered
ORD101229,CUST967,2024-06-22,Electronics,Phone Case,4740.25,1.0,India,Net Banking,Website,Delivered
ORD100833,CUST490,2024-05-31,Home & Kitchen,Blender,2545.25,1.0,India,Debit Card,Website,Delivered
ORD102412,CUST951,2024-09-06,Sports,Water Bottle,1321.31,1.0,USA,Credit Card,Website,Delivered
ORD104087,CUST488,05-18-2024,Home & Kitchen,Storage Containers,1037.0,1.0,India,Credit Card,Marketplace,Delivered
ORD102112,CUST64,2024-02-26,Beauty,Lip Balm Set,1084.67,1.0,France,UPI,Website,delivered
ORD100486,CUST299,2024-06-21,Toys,Puzzle 1000pc,1662.54,1.0,nan,Net Banking,Website,Delivered
ORD105463,CUST1613,2024-05-11,Fashion,Cotton T-Shirt,1630.16,1.0,nan,Credit Card,Website,Returned
ORD100512,CUST633,2024-04-19,Electronics,Power Bank,1547.7,2.0,United States,Credit Card,Marketplace,Delivered
ORD101184,CUST694,2024-03-27,Sports,Yoga Mat,2341.7,1.0,India,Credit Card,Mobile App,Returned
ORD102098,CUST1562,2024-01-01,Fashion,Denim Jacket,461.39,1.0,USA,UPI,Mobile App,Delivered
ORD105832,,2024-01-11,Fashion,Denim Jacket,1255.81,1.0,INDIA,Debit Card,Marketplace,Delivered
ORD103093,CUST228,2024-08-25,Fashion,Sunglasses,2772.07,1.0,INDIA,Debit Card,Mobile App,Delivered
ORD101071,CUST680,27/06/2024,Beauty,Lip Balm Set,912.47,1.0,USA,PayPal,Website,Delivered
ORD101473,CUST1578,02-04-2024,Home & Kitchen,Air Fryer,3050.24,1.0,United Kingdom,Debit Card,Marketplace,Delivered
ORD101541,CUST576,2024-08-28,Home & Kitchen,Non-stick Pan Set,3198.71,1.0,India,credit card,Website,Delivered
ORD104643,CUST1086,2024-01-11,Books,Cookbook,435.69,5.0,UAE,Credit Card,Website,Delivered
ORD100241,CUST1423,2024-08-06,Electronics,Power Bank,4951.53,1.0,USA,UPI,Mobile App,Delivered
ORD105859,CUST617,2024-02-04,Beauty,Sunscreen SPF50,359.79,1.0,United Kingdom,Credit Card,MOBILE APP,Delivered 
ORD104047,CUST1384,2024-05-01,Electronics,USB-C Cable,776.96,1.0,Germany,COD,Mobile App,Delivered
ORD101804,CUST1730,2024-04-10,Home & Kitchen,Storage Containers,,2.0,india,UPI,Marketplace,Delivered
ORD100210,CUST860,02-08-2024,Beauty,Face Serum,1054.41,1.0,India,COD,Marketplace,Delivered
ORD103542,CUST205,2024-02-01,Fashion,Denim Jacket,488.82,2.0,United States,COD,Mobile App,Delivered
ORD105911,CUST80,2024-05-25,Home & Kitchen,Blender,1236.7,1.0,UK,Credit Card,Website,Delivered
ORD104631,CUST138,05/02/2024,Fashion,Running Shoes,713.25,1.0,India,credit card,Marketplace,Returned
ORD104204,CUST1292,09-24-2024,Home & Kitchen,Storage Containers,2773.57,2.0,Germany,UPI,Website,Delivered
ORD105892,CUST712,2024-02-23,Home & Kitchen,Air Fryer,1401.9,1.0,India,UPI,Mobile App,Delivered
ORD102427,CUST189,07-03-2024,Sports,Dumbbell Set,983.54,1.0,UK,Debit Card,Mobile App,Cancelled
ORD104983,CUST21,2024-09-27,Fashion,Sunglasses,207.06,1.0,India,Debit Card,Website,Delivered
ORD101000,CUST1662,2024-05-05,Sports,Dumbbell Set,1863.62,1.0,India,Debit Card,website,Delivered
ORD104517,CUST1373,2024-07-02,Fashion,Cotton T-Shirt,1465.64,2.0,india,Net Banking,website,Delivered
ORD101428,,2024-07-11,Beauty,Face Serum,424.0,1.0,UAE,Debit Card,Website,Delivered
ORD105534,CUST1456,12/06/2024,Beauty,Sunscreen SPF50,913.77,1.0,India,UPI,Marketplace,Delivered
ORD105884,,2024-07-05,Electronics,Wireless Earbuds,1524.13,1.0,India,COD,Marketplace,Delivered
ORD104191,CUST571,04-09-2024,Electronics,Wireless Earbuds,1613.86,2.0,France,credit card,Mobile App,Cancelled
ORD103401,CUST1318,2024-07-20,Beauty,Sunscreen SPF50,512.62,2.0,INDIA,credit card,MOBILE APP,Delivered
ORD101089,CUST1054,2024-02-24,Fashion,Running Shoes,329.06,1.0,India,UPI,Mobile App,Delivered
ORD102439,CUST768,2024-09-16,Fashion,Cotton T-Shirt,1837.8,1.0,UAE,Credit Card,Marketplace,Delivered
ORD101108,CUST1483,2024-06-29,Beauty,Face Serum,1011.07,1.0,INDIA,Credit Card,Website,Delivered 
ORD100365,CUST1051,09-10-2024,Beauty,Lip Balm Set,337.26,2.0,India,Credit Card,Website,Delivered
ORD102396,CUST1131,2024-02-12,Sports,Cycling Gloves,1842.58,1.0,India,UPI,Mobile App,Delivered
ORD105233,CUST51,05-28-2024,Fashion,Leather Wallet,1055.22,4.0,India,Credit Card,Mobile App,Cancelled
ORD102489,CUST954,30/07/2024,Fashion,Cotton T-Shirt,2156.18,1.0,India,UPI,Mobile App,Delivered
ORD102078,CUST972,2024-07-03,Fashion,Running Shoes,2396.86,4.0,India,UPI,Mobile App,Delivered
ORD101150,CUST352,2024-02-19,Home & Kitchen,Blender,2414.81,1.0,USA,Debit Card,Website,Delivered
ORD105926,CUST976,2024-04-19,Sports,Water Bottle,1368.34,1.0,India,UPI,Website,Delivered
ORD103659,CUST1061,2024-06-09,Beauty,Face Serum,1129.4,2.0,India,Debit Card,Website,Cancelled
ORD102147,CUST687,2024-07-27,Home & Kitchen,LED Desk Lamp,1445.92,4.0,India,UPI,Mobile App,Delivered
ORD105182,CUST223,2024-06-02,Fashion,Leather Wallet,829.32,1.0,France,Credit Card,Website,Delivered
ORD103652,CUST1162,04-22-2024,Books,Fiction Bestseller,415.42,2.0,USA,COD,Mobile App,Delivered
ORD105547,CUST608,01-31-2024,Books,Cookbook,,1.0,India,UPI,Mobile App,Delivered
ORD100272,CUST148,03-15-2024,Beauty,Hair Dryer,291.55,2.0,India,UPI,Website,Delivered
ORD102001,CUST130,2024-08-06,Beauty,Lip Balm Set,585.44,3.0,USA,COD,Website,Delivered
ORD101947,CUST1359,2024-04-07,Electronics,Bluetooth Speaker,470822.0,,Germany,UPI,Mobile App,Delivered
ORD101514,,2024-03-20,Electronics,USB-C Cable,2061.13,1.0,india,UPI,Marketplace,Delivered
ORD100364,CUST1289,16/03/2024,Sports,Water Bottle,2025.23,1.0,UK,Credit Card,Marketplace,Delivered
ORD100697,CUST792,13/01/2024,Home & Kitchen,Blender,1126.47,3.0,India,PayPal,Website,Cancelled
ORD100743,CUST334,2024-04-04,Fashion,Denim Jacket,1770.14,1.0,India,Credit Card,Website,Returned
ORD102385,CUST1072,23/07/2024,Home & Kitchen,LED Desk Lamp,505.59,1.0,USA,Debit Card,Website,Cancelled
ORD102559,CUST659,01-05-2024,Electronics,Power Bank,3460.84,1.0,USA,COD,Website,Delivered
ORD100483,CUST839,2024-08-21,Toys,Board Game,1423.78,1.0,France,Credit Card,MOBILE APP,Delivered
ORD104205,CUST1185,2024-04-20,Toys,Building Blocks Set,728.64,1.0,United Kingdom,Credit Card,website,Delivered
ORD105713,CUST810,2024-07-08,Fashion,Running Shoes,1438.14,1.0,France,Debit Card,Mobile App,Delivered
ORD105175,CUST263,05-11-2024,Toys,RC Car,1586.99,1.0,UK,,website,Delivered
ORD101147,CUST1257,2024-09-27,Books,Cookbook,769.8,1.0,INDIA,Credit Card,Website,Cancelled
ORD101483,CUST1156,2024-02-21,Toys,Board Game,1548.44,1.0,India,Credit Card,Website,Delivered
ORD102434,CUST1729,2024-04-27,Fashion,Leather Wallet,2717.93,1.0,USA,UPI,Marketplace,Delivered
ORD104833,,04-01-2024,Books,Cookbook,,1.0,India,Net Banking,website,Delivered
ORD100996,CUST879,09-06-2024,Beauty,Makeup Brush Kit,532.45,3.0,USA,Debit Card,Mobile App,Delivered
ORD104499,CUST832,2024-07-15,Fashion,Leather Wallet,2076.98,5.0,UK,UPI,website,Delivered
ORD101127,CUST1735,2024-09-06,Fashion,Leather Wallet,1465.58,1.0,USA,Net Banking,Mobile App,Delivered
ORD103712,,05-03-2024,Fashion,Denim Jacket,2124.43,1.0,USA,Credit Card,Mobile App,Delivered
ORD104851,CUST1642,2024-06-30,Home & Kitchen,Blender,2835.07,1.0,UK,Debit Card,Website,Delivered
ORD101756,CUST193,08-01-2024,Electronics,Smartwatch,4989.13,1.0,nan,COD,Website,Delivered
ORD102025,CUST1513,2024-07-30,Home & Kitchen,LED Desk Lamp,623.62,1.0,India,UPI,Website,Delivered
ORD105206,CUST828,2024-07-19,Home & Kitchen,Non-stick Pan Set,3121.44,1.0,india,UPI,website,Delivered
ORD105196,,2024-03-23,Fashion,Running Shoes,2463.49,1.0,UK,Credit Card,Marketplace,Delivered
ORD103046,CUST1682,2024-05-30,Fashion,Sunglasses,2799.73,1.0,Germany,PayPal,Website,Delivered
ORD100614,CUST1598,20/03/2024,Home & Kitchen,Non-stick Pan Set,3251.0,2.0,USA,UPI,Website,Delivered
ORD105748,CUST1337,2024-02-25,Beauty,Makeup Brush Kit,784.97,2.0,USA,Credit Card,Mobile App,Delivered
ORD105057,CUST374,06-29-2024,Electronics,Bluetooth Speaker,616.08,2.0,USA,Debit Card,Marketplace,Delivered
ORD105882,CUST276,2024-08-16,Beauty,Face Serum,1483.86,4.0,UK,COD,Marketplace,Delivered
ORD103552,CUST1057,28/06/2024,Toys,Building Blocks Set,1166.02,2.0,UK,Credit Card,Website,Delivered
ORD103207,CUST849,2024-05-31,Electronics,Power Bank,3456.6,1.0,India,PayPal,Mobile App,Delivered
ORD105457,CUST655,2024-09-24,Electronics,Smartwatch,2851.13,1.0,India,Debit Card,Mobile App,Returned
ORD100331,CUST13,03-14-2024,Home & Kitchen,Storage Containers,380.12,1.0,UK,Debit Card,Website,Delivered
ORD105765,CUST1292,2024-07-18,Fashion,Running Shoes,,1.0,India,Debit Card,Website,Delivered
ORD102111,CUST169,01-01-2024,Sports,Water Bottle,,1.0,UK,Debit Card,Marketplace,Delivered 
ORD101506,CUST1440,31/05/2024,Fashion,Running Shoes,2421.28,1.0,India,credit card,Website,Delivered
ORD101334,,2024-05-08,Home & Kitchen,LED Desk Lamp,2525.86,1.0,India,Credit Card,Marketplace,Delivered
ORD101440,CUST1083,2024-06-17,Fashion,Running Shoes,1045.08,2.0,UK,UPI,Website,Delivered
ORD105760,CUST756,2024-03-31,Electronics,Smartwatch,2035.36,1.0,UK,COD,Website,Delivered
ORD103849,CUST1784,2024-01-27,Sports,Dumbbell Set,1272.01,4.0,India,UPI,website,Delivered
ORD101819,CUST1222,08-09-2024,Beauty,Lip Balm Set,424.57,1.0,India,Debit Card,Mobile App,Delivered
ORD105357,CUST955,2024-07-13,Fashion,Leather Wallet,2531.26,2.0,India,Debit Card,Mobile App,Delivered
ORD101295,CUST1648,2024-06-14,Books,Kids Picture Book,420.73,1.0,nan,UPI,Mobile App,Delivered
ORD102055,CUST505,2024-02-21,Fashion,Denim Jacket,422.16,1.0,India,Credit Card,Marketplace,Delivered
ORD104797,CUST777,26/07/2024,Electronics,Power Bank,,1.0,India,Credit Card,Mobile App,Returned
ORD100472,CUST1761,2024-08-17,Toys,Puzzle 1000pc,1072.93,1.0,United States,COD,Website,Delivered
ORD105349,CUST383,05-21-2024,Electronics,Phone Case,3539.95,2.0,India,Credit Card,Marketplace,Delivered
ORD102550,CUST136,06-11-2024,Toys,RC Car,786.58,4.0,India,COD,MOBILE APP,Delivered
ORD104636,CUST991,04-28-2024,Toys,Board Game,856.83,2.0,India,UPI,Marketplace,Delivered
ORD102749,CUST341,20/05/2024,Beauty,Sunscreen SPF50,209.62,3.0,USA,PayPal,Mobile App,Cancelled
ORD105854,CUST1114,2024-01-13,Home & Kitchen,LED Desk Lamp,2835.01,1.0,India,Debit Card,Website,Delivered
ORD101856,CUST1527,2024-05-29,Fashion,Sunglasses,2835.31,2.0,France,COD,Marketplace,Delivered
ORD104017,CUST1387,06-17-2024,Beauty,Makeup Brush Kit,885.33,3.0,India,COD,Mobile App,Delivered
ORD100212,CUST691,2024-06-30,Sports,Yoga Mat,2316.76,1.0,Germany,Credit Card,Marketplace,Delivered
ORD105032,CUST740,04/01/2024,Sports,Resistance Bands,2475.72,1.0,India,UPI,Website,Delivered
ORD100598,CUST1227,2024-07-02,Fashion,Sunglasses,1295.07,1.0,UK,UPI,website,Delivered
ORD100873,CUST498,2024-01-15,Fashion,Denim Jacket,2646.19,1.0,India,Credit Card,Marketplace,Returned
ORD101026,CUST847,2024-09-29,Beauty,Makeup Brush Kit,433.81,2.0,India,Debit Card,Mobile App,Delivered
ORD103163,CUST283,07-24-2024,Beauty,Sunscreen SPF50,572.9,1.0,India,Debit Card,Marketplace,Delivered
ORD103086,CUST425,02-09-2024,Electronics,Bluetooth Speaker,2500.41,1.0,Germany,credit card,Mobile App,Delivered
